code,title,source,output,category,isoClause
GOV-002-2026,سياسة الإفصاح والشفافية,ISO9001/05_وثائق_النشر_العام/GOV-002-2026-سياسة-الإفصاح-والشفافية.docx,files/GOV-002-2026-سياسة-الإفصاح-والشفافية.docx,policy,"5.1.1, 6.1"
PUB-005-2026,سياسة الإفصاح والشفافية,ISO9001/05_وثائق_النشر_العام/PUB-005-2026-سياسة-الإفصاح-والشفافية.docx,files/PUB-005-2026-سياسة-الإفصاح-والشفافية.docx,policy,5.2
PUB-006-2026,سياسة مكافحة الاحتيال والفساد,ISO9001/05_وثائق_النشر_العام/PUB-006-2026-سياسة-مكافحة-الاحتيال.docx,files/PUB-006-2026-سياسة-مكافحة-الاحتيال-والفساد.docx,policy,5.2
PUB-007-2026,سياسة حماية المستفيدين,ISO9001/05_وثائق_النشر_العام/PUB-007-2026-سياسة-حماية-المستفيدين.docx,files/PUB-007-2026-سياسة-حماية-المستفيدين.docx,policy,5.2
PUB-008-2026,سياسة استرداد التبرعات,ISO9001/05_وثائق_النشر_العام/PUB-008-2026-سياسة-استرداد-التبرعات.docx,files/PUB-008-2026-سياسة-استرداد-التبرعات.docx,policy,5.2
PUB-009-2026,السياسة المالية العامة,ISO9001/05_وثائق_النشر_العام/PUB-009-2026-السياسة-المالية-العامة.docx,files/PUB-009-2026-السياسة-المالية-العامة.docx,policy,5.2
QP-001-2026,سياسة الجودة,ISO9001/05_وثائق_النشر_العام/QP-001-2026-سياسة-الجودة.docx,files/QP-001-2026-سياسة-الجودة.docx,policy,5.2
QP-002-2026,أهداف الجودة والمؤشرات الرقمية,ISO9001/05_وثائق_النشر_العام/QP-002-2026-أهداف-الجودة.docx,files/QP-002-2026-أهداف-الجودة-والمؤشرات-الرقمية.docx,strategic_plan,6.2
QS-004-2026,حماية المستفيدين والشكاوى,ISO9001/05_وثائق_النشر_العام/QS-004-2026-حماية-المستفيدين-والشكاوى.docx,files/QS-004-2026-حماية-المستفيدين-والشكاوى.docx,policy,"5.2, 6.1, 8.2"
